Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,sum formula,C,H,K,N,Na,O,S
100.014151,-1000.0,725177,100.014153,0.002,0.016,C2 H2 N3 O2    ,2,2,0,3,0,2,0
104.010673,555.84,727502,104.010684,0.011,0.11,C4 H3 N Na O   ,4,3,0,1,1,1,0
111.007558,520.55,792259,111.00767,0.112,1.011,C5 H3 O3       ,5,3,0,0,0,3,0
111.05535,-1000.0,839618,111.055289,-0.061,-0.548,C5 H7 N2 O     ,5,7,0,2,0,1,0
115.038903,-1000.0,765679,115.038971,0.068,0.587,C5 H7 O3       ,5,7,0,0,0,3,0
115.980131,717.16,731966,115.980076,-0.055,-0.471,C3 H2 N O2 S   ,3,2,0,1,0,2,1
118.006986,620.17,694588,118.006959,-0.026,-0.224,C2 H4 N3 O S   ,2,4,0,3,0,1,1
121.996199,756.5,753836,121.996097,-0.102,-0.835,C2 H N3 Na O2  ,2,1,0,3,1,2,0
125.057431,548.0,700093,125.0573,-0.131,-1.044,C5 H10 Na O2   ,5,10,0,0,1,2,0
127.075411,690.11,846145,127.075356,-0.055,-0.436,C7 H11 O2      ,7,11,0,0,0,2,0
127.08663,663.18,866113,127.086589,-0.041,-0.323,C6 H11 N2 O    ,6,11,0,2,0,1,0
131.049177,-1000.0,830445,131.049141,-0.036,-0.272,C9 H7 O        ,9,7,0,0,0,1,0
136.073152,536.53,784247,136.073285,0.133,0.978,C6 H11 N Na O  ,6,11,0,1,1,1,0
138.066146,480.78,836555,138.066188,0.043,0.309,C6 H8 N3 O     ,6,8,0,3,0,1,0
138.961575,-1000.0,740343,138.961444,-0.131,-0.943,C4 H4 K O S    ,4,4,1,0,0,1,1
142.122506,-1000.0,757937,142.122641,0.134,0.945,C8 H16 N O     ,8,16,0,1,0,1,0
144.972013,478.93,714631,144.971857,-0.157,-1.081,C6 H2 Na O S   ,6,2,0,0,1,1,1
145.013084,-1000.0,743178,145.01315,0.066,0.455,C5 H5 O5       ,5,5,0,0,0,5,0
145.037284,459.89,868492,145.037234,-0.051,-0.349,C6 H6 N2 Na O  ,6,6,0,2,1,1,0
145.062425,568.05,978318,145.062386,-0.04,-0.272,C8 H10 Na O    ,8,10,0,0,1,1,0
147.078086,-1000.0,715327,147.078036,-0.05,-0.341,C8 H12 Na O    ,8,12,0,0,1,1,0
148.978011,422.52,726777,148.978005,-0.006,-0.04,C4 H2 N2 Na O S,4,2,0,2,1,1,1
149.034565,535.96,703231,149.034554,-0.012,-0.077,C7 H5 N2 O2    ,7,5,0,2,0,2,0
150.063628,-1000.0,708971,150.063783,0.155,1.034,C5 H9 N3 Na O  ,5,9,0,3,1,1,0
151.000082,-1000.0,740050,151.000179,0.097,0.644,C5 H4 Na O4    ,5,4,0,0,1,4,0
151.072998,-1000.0,1041626,151.07295,-0.047,-0.313,C7 H12 Na O2   ,7,12,0,0,1,2,0
152.994703,638.04,723770,152.994852,0.149,0.973,C5 H6 K O3     ,5,6,1,0,0,3,0
153.029341,383.59,984766,153.029468,0.127,0.832,C6 H5 N2 O3    ,6,5,0,2,0,3,0
157.03573,747.7,719815,157.035616,-0.113,-0.722,C4 H5 N4 O3    ,4,5,0,4,0,3,0
157.072126,-1000.0,700364,157.072002,-0.124,-0.788,C5 H9 N4 O2    ,5,9,0,4,0,2,0
162.027346,-1000.0,715182,162.027397,0.051,0.314,C5 H5 N3 Na O2 ,5,5,0,3,1,2,0
163.109266,531.12,798300,163.109336,0.069,0.426,C9 H16 Na O    ,9,16,0,0,1,1,0
164.042989,-1000.0,712438,164.043047,0.058,0.353,C5 H7 N3 Na O2 ,5,7,0,3,1,2,0
165.033404,746.72,728732,165.033491,0.087,0.529,C12 H5 O       ,12,5,0,0,0,1,0
165.066,527.54,818594,165.065854,-0.146,-0.887,C8 H9 N2 O2    ,8,9,0,2,0,2,0
168.06561,604.9,721583,168.06552,-0.09,-0.538,C8 H10 N O3    ,8,10,0,1,0,3,0
170.003686,309.07,836370,170.003643,-0.043,-0.25,C5 H9 K N O S  ,5,9,1,1,0,1,1
171.041509,496.3,780502,171.04165,0.141,0.823,C9 H8 Na O2    ,9,8,0,0,1,2,0
171.077934,596.02,724445,171.078036,0.101,0.593,C10 H12 Na O   ,10,12,0,0,1,1,0
173.057338,522.11,749914,173.0573,-0.037,-0.215,C9 H10 Na O2   ,9,10,0,0,1,2,0
174.018571,577.8,716312,174.018569,-0.001,-0.008,C9 H4 N O3     ,9,4,0,1,0,3,0
174.055141,464.06,852255,174.054955,-0.186,-1.071,C10 H8 N O2    ,10,8,0,1,0,2,0
175.956655,464.93,752542,175.956693,0.037,0.213,C6 H3 K N O S  ,6,3,1,1,0,1,1
177.007714,618.28,816246,177.007688,-0.026,-0.148,C3 H5 N4 O3 S  ,3,5,0,4,0,3,1
177.033586,489.35,737148,177.033491,-0.095,-0.537,C13 H5 O       ,13,5,0,0,0,1,0
178.058523,528.02,844113,178.058697,0.174,0.98,C6 H9 N3 Na O2 ,6,9,0,3,1,2,0
178.985402,415.67,718612,178.98535,-0.052,-0.291,C5 H4 K N2 O3  ,5,4,1,2,0,3,0
181.060585,-1000.0,746193,181.060769,0.183,1.011,C8 H9 N2 O3    ,8,9,0,2,0,3,0
182.000283,438.65,731806,182.000272,-0.011,-0.062,C9 H5 K N O    ,9,5,1,1,0,1,0
182.019593,470.28,792226,182.019632,0.039,0.212,C6 H4 N3 O4    ,6,4,0,3,0,4,0
182.032712,-1000.0,717989,182.032634,-0.078,-0.426,C5 H9 K N3 O2  ,5,9,1,3,0,2,0
183.019912,-1000.0,880511,183.019869,-0.043,-0.234,C5 H8 N2 Na O2 S,5,8,0,2,1,2,1
183.081309,113.88,2711436,183.081407,0.098,0.537,C8 H16 Na O S  ,8,16,0,0,1,1,1
184.071507,462.35,751465,184.071668,0.16,0.871,C7 H10 N3 O3   ,7,10,0,3,0,3,0
187.133072,-1000.0,838942,187.132871,-0.201,-1.072,C10 H19 O3     ,10,19,0,0,0,3,0
191.081312,-1000.0,719542,191.081504,0.192,1.007,C10 H11 N2 O2  ,10,11,0,2,0,2,0
194.989805,-1000.0,732507,194.990009,0.204,1.046,C6 H4 Na O6    ,6,4,0,0,1,6,0
196.050734,508.71,781660,196.050538,-0.195,-0.997,C11 H6 N3 O    ,11,6,0,3,0,1,0
197.962172,485.49,788270,197.962172,0.001,0.003,C5 H5 K N O3 S ,5,5,1,1,0,3,1
198.02978,486.8,827966,198.029803,0.023,0.116,C10 H4 N3 O2   ,10,4,0,3,0,2,0
199.976219,-1000.0,817948,199.976053,-0.166,-0.83,C5 H2 N3 O4 S  ,5,2,0,3,0,4,1
200.068317,463.65,962355,200.068199,-0.118,-0.587,C10 H11 N Na O2,10,11,0,1,1,2,0
201.052175,-1000.0,728614,201.052215,0.04,0.198,C10 H10 Na O3  ,10,10,0,0,1,3,0
201.076959,722.95,834092,201.077087,0.128,0.638,C10 H9 N4 O    ,10,9,0,4,0,1,0
202.047476,499.41,771357,202.047464,-0.012,-0.06,C9 H9 N Na O3  ,9,9,0,1,1,3,0
202.18027,506.3,745277,202.180155,-0.115,-0.567,C11 H24 N O2   ,11,24,0,1,0,2,0
203.106455,-1000.0,837156,203.106656,0.201,0.988,C13 H15 O2     ,13,15,0,0,0,2,0
204.061458,660.82,829713,204.061497,0.039,0.189,C6 H10 N3 O5   ,6,10,0,3,0,5,0
205.017662,-1000.0,752640,205.017858,0.197,0.96,C8 H5 N4 O S   ,8,5,0,4,0,1,1
205.028411,-1000.0,790018,205.028406,-0.005,-0.024,C14 H5 O2      ,14,5,0,0,0,2,0
205.060664,454.56,808459,205.060769,0.104,0.509,C10 H9 N2 O3   ,10,9,0,2,0,3,0
207.044269,542.62,787450,207.044056,-0.214,-1.032,C14 H7 O2      ,14,7,0,0,0,2,0
209.047847,409.5,738800,209.047821,-0.026,-0.123,C7 H13 O5 S    ,7,13,0,0,0,5,1
209.076788,-1000.0,755192,209.076813,0.024,0.117,C6 H13 N2 O6   ,6,13,0,2,0,6,0
211.030138,335.67,832482,211.030192,0.055,0.258,C7 H12 K N2 O S,7,12,1,2,0,1,1
211.086603,617.18,781296,211.086589,-0.013,-0.062,C13 H11 N2 O   ,13,11,0,2,0,1,0
211.090177,500.24,761329,211.089961,-0.217,-1.027,C10 H15 N2 O S ,10,15,0,2,0,1,1
211.112701,439.13,732662,211.112707,0.007,0.031,C10 H20 Na O S ,10,20,0,0,1,1,1
213.980501,395.18,772293,213.98047,-0.031,-0.146,C7 H4 N O5 S   ,7,4,0,1,0,5,1
213.993255,-1000.0,841928,213.99332,0.065,0.304,C9 H5 N Na O2 S,9,5,0,1,1,2,1
215.010177,427.83,836550,215.01035,0.173,0.806,C13 H4 Na O2   ,13,4,0,0,1,2,0
215.021519,551.77,911049,215.021583,0.065,0.301,C12 H4 N2 Na O ,12,4,0,2,1,1,0
215.14055,497.94,739815,215.140636,0.086,0.4,C13 H20 Na O   ,13,20,0,0,1,1,0
216.027058,-1000.0,778436,216.02688,-0.178,-0.823,C6 H11 K N O5  ,6,11,1,1,0,5,0
216.041962,620.88,892872,216.041985,0.022,0.104,C13 H7 N Na O  ,13,7,0,1,1,1,0
216.06342,381.15,752333,216.063266,-0.154,-0.712,C7 H15 K N O4  ,7,15,1,1,0,4,0
216.066674,282.24,1105614,216.066485,-0.189,-0.873,C7 H15 N Na O3 S,7,15,0,1,1,3,1
217.047317,-1000.0,2525123,217.04713,-0.187,-0.863,C10 H10 Na O4  ,10,10,0,0,1,4,0
218.063491,553.39,809152,218.063412,-0.08,-0.365,C12 H12 N O S  ,12,12,0,1,0,1,1
219.001437,-1000.0,742312,219.001242,-0.195,-0.891,C7 H4 N2 Na O5 ,7,4,0,2,1,5,0
219.135756,506.64,915914,219.135551,-0.206,-0.939,C12 H20 Na O2  ,12,20,0,0,1,2,0
219.141351,414.29,852427,219.141328,-0.024,-0.109,C11 H23 O2 S   ,11,23,0,0,0,2,1
219.174552,141.02,1855955,219.174342,-0.21,-0.96,C15 H23 O      ,15,23,0,0,0,1,0
219.967715,-1000.0,776088,219.967499,-0.215,-0.978,C7 H3 N Na O4 S,7,3,0,1,1,4,1
220.0693,-1000.0,855473,220.069262,-0.038,-0.171,C8 H11 N3 Na O3,8,11,0,3,1,3,0
220.978225,-1000.0,860561,220.978157,-0.069,-0.311,C7 H6 K N2 O2 S,7,6,1,2,0,2,1
221.151378,-1000.0,1017788,221.151201,-0.177,-0.8,C12 H22 Na O2  ,12,22,0,0,1,2,0
221.187723,-1000.0,807365,221.187586,-0.137,-0.617,C13 H26 Na O   ,13,26,0,0,1,1,0
222.183045,532.56,773305,222.182835,-0.21,-0.945,C12 H25 N Na O ,12,25,0,1,1,1,0
222.185432,17.14,6218938,222.185241,-0.191,-0.862,C14 H24 N O    ,14,24,0,1,0,1,0
223.017003,381.05,743814,223.01719,0.187,0.839,C9 H7 N2 O3 S  ,9,7,0,2,0,3,1
223.13064,-1000.0,798369,223.130465,-0.175,-0.784,C11 H20 Na O3  ,11,20,0,0,1,3,0
223.167013,294.87,1392042,223.166851,-0.162,-0.727,C12 H24 Na O2  ,12,24,0,0,1,2,0
224.030207,474.39,774781,224.030197,-0.011,-0.048,C8 H6 N3 O5    ,8,6,0,3,0,5,0
224.033448,377.47,775294,224.033568,0.12,0.537,C5 H10 N3 O5 S ,5,10,0,3,0,5,1
225.096945,756.17,794496,225.096879,-0.066,-0.291,C8 H17 O7      ,8,17,0,0,0,7,0
225.109941,-1000.0,1476483,225.10973,-0.211,-0.937,C10 H18 Na O4  ,10,18,0,0,1,4,0
225.146143,511.26,762764,225.146115,-0.027,-0.122,C11 H22 Na O3  ,11,22,0,0,1,3,0
