sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C H2 N3 O S    ,103.991303,442.91,715382,103.991309,0.006,0.06,1,2,0,3,0,1,1
C3 H2 N2 Na O  ,105.005864,560.06,725579,105.005933,0.069,0.657,3,2,0,2,1,1,0
C6 H6 N O      ,108.044445,-1000.0,737941,108.04439,-0.055,-0.507,6,6,0,1,0,1,0
C5 H3 O S      ,110.990003,-1000.0,799773,110.989912,-0.091,-0.82,5,3,0,0,0,1,1
C4 H8 Na O2    ,111.041576,553.93,734649,111.04165,0.074,0.668,4,8,0,0,1,2,0
C4 H2 N O S    ,111.985066,497.05,778408,111.985161,0.095,0.849,4,2,0,1,0,1,1
C5 H6 N O2     ,112.039339,731.59,774107,112.039305,-0.034,-0.306,5,6,0,1,0,2,0
C6 H10 N O     ,112.075792,-1000.0,696859,112.07569,-0.101,-0.903,6,10,0,1,0,1,0
C2 H4 K O S    ,114.961334,308.85,949574,114.961444,0.11,0.959,2,4,1,0,0,1,1
C7 H15 O       ,115.111698,578.83,706844,115.111742,0.043,0.377,7,15,0,0,0,1,0
C5 H2 K O      ,116.973801,459.61,843937,116.973723,-0.079,-0.672,5,2,1,0,0,1,0
C4 H3 K N O    ,119.984543,495.55,907789,119.984622,0.078,0.653,4,3,1,1,0,1,0
C4 H3 N Na O2  ,120.005629,558.3,811188,120.005599,-0.03,-0.249,4,3,0,1,1,2,0
C4 H2 Na O3    ,120.989514,553.93,694274,120.989615,0.1,0.828,4,2,0,0,1,3,0
C3 H2 N2 Na O2 ,121.000917,740.61,767925,121.000848,-0.069,-0.569,3,2,0,2,1,2,0
C4 H6 N2 Na O  ,121.037362,-1000.0,738869,121.037234,-0.128,-1.059,4,6,0,2,1,1,0
C4 H5 K N O    ,122.000359,554.33,712621,122.000272,-0.087,-0.715,4,5,1,1,0,1,0
C8 H11 O       ,123.080504,528.14,704216,123.080441,-0.063,-0.511,8,11,0,0,0,1,0
C5 H2 N O S    ,123.985289,664.9,751956,123.985161,-0.128,-1.032,5,2,0,1,0,1,1
C4 H7 N Na O2  ,124.03703,558.86,789100,124.036899,-0.131,-1.054,4,7,0,1,1,2,0
C4 H6 Na O S   ,125.00327,500.02,702698,125.003157,-0.113,-0.905,4,6,0,0,1,1,1
C2 H N Na O2 S ,125.961932,661.17,773969,125.96202,0.088,0.702,2,1,0,1,1,2,1
C3 H6 K O3     ,128.994987,643.59,764156,128.994852,-0.135,-1.044,3,6,1,0,0,3,0
C5 H2 N2 Na O  ,129.005886,549.58,750973,129.005933,0.047,0.365,5,2,0,2,1,1,0
C8 H17 O       ,129.127319,588.91,695218,129.127392,0.073,0.564,8,17,0,0,0,1,0
C3 H3 N2 O2 S  ,130.990959,602.99,718233,130.990975,0.016,0.12,3,3,0,2,0,2,1
C5 H2 Na O3    ,132.9897,583.06,704427,132.989615,-0.085,-0.642,5,2,0,0,1,3,0
C3 H5 N2 O2 S  ,133.006682,447.51,711796,133.006625,-0.057,-0.425,3,5,0,2,0,2,1
C7 H4 N O2     ,134.02359,-1000.0,729567,134.023655,0.065,0.484,7,4,0,1,0,2,0
C7 H3 O S      ,134.990045,-1000.0,703845,134.989912,-0.133,-0.984,7,3,0,0,0,1,1
C6 H3 N2 O2    ,135.01894,773.65,764518,135.018904,-0.037,-0.27,6,3,0,2,0,2,0
C3 H2 N2 Na O S,136.977926,557.95,772297,136.978005,0.079,0.574,3,2,0,2,1,1,1
C4 H2 Na O4    ,136.98447,-1000.0,739017,136.984529,0.059,0.431,4,2,0,0,1,4,0
C7 H5 O S      ,137.005706,645.66,698186,137.005562,-0.144,-1.05,7,5,0,0,0,1,1
C6 H5 N2 O2    ,137.034622,574.77,752628,137.034554,-0.068,-0.494,6,5,0,2,0,2,0
C3 H5 N3 Na O2 ,138.027363,563.13,693534,138.027397,0.034,0.245,3,5,0,3,1,2,0
C6 H3 O2 S     ,138.984948,648.06,702606,138.984827,-0.121,-0.87,6,3,0,0,0,2,1
C3 H3 K N O S  ,139.956539,503.56,706370,139.956693,0.153,1.096,3,3,1,1,0,1,1
C5 H2 N O2 S   ,139.980187,446.92,782532,139.980076,-0.111,-0.791,5,2,0,1,0,2,1
C6 H6 N O3     ,140.034347,-1000.0,710599,140.034219,-0.127,-0.909,6,6,0,1,0,3,0
C6 H2 N2 Na O  ,141.005855,-1000.0,744119,141.005933,0.079,0.559,6,2,0,2,1,1,0
C8 H6 Na O     ,141.031058,527.4,726072,141.031086,0.027,0.195,8,6,0,0,1,1,0
C4 H4 N3 O S   ,142.007102,398.93,824922,142.006959,-0.142,-1.003,4,4,0,3,0,1,1
C4 H3 N2 O2 S  ,142.990867,428.53,699294,142.990975,0.108,0.758,4,3,0,2,0,2,1
C9 H3 O2       ,143.01264,656.54,883207,143.012756,0.116,0.811,9,3,0,0,0,2,0
C8 H15 O2      ,143.106789,-1000.0,711182,143.106656,-0.133,-0.931,8,15,0,0,0,2,0
C4 H6 N3 O S   ,144.022542,349.73,873196,144.022609,0.068,0.47,4,6,0,3,0,1,1
C4 H4 N O3 S   ,145.990488,428.7,708855,145.990641,0.152,1.044,4,4,0,1,0,3,1
C6 H12 N O3    ,146.081082,-1000.0,764824,146.08117,0.088,0.602,6,12,0,1,0,3,0
C7 H8 K O      ,147.020765,479.13,692717,147.020673,-0.093,-0.63,7,8,1,0,0,1,0
C8 H7 N2 O     ,147.055177,753.58,695256,147.055289,0.112,0.765,8,7,0,2,0,1,0
C4 H6 N O3 S   ,148.006338,444.93,783795,148.006291,-0.048,-0.323,4,6,0,1,0,3,1
C9 H10 N O     ,148.075627,524.36,695634,148.07569,0.063,0.427,9,10,0,1,0,1,0
C5 H2 K O3     ,148.963527,-1000.0,697260,148.963552,0.024,0.164,5,2,1,0,0,3,0
C4 H5 O4 S     ,148.990398,558.58,808232,148.990306,-0.092,-0.615,4,5,0,0,0,4,1
C4 H2 N2 Na O3 ,148.99578,543.17,787095,148.995763,-0.017,-0.115,4,2,0,2,1,3,0
C8 H5 O3       ,149.023174,512.01,763930,149.02332,0.146,0.981,8,5,0,0,0,3,0
C5 H6 N2 Na O2 ,149.032077,546.48,713907,149.032148,0.071,0.478,5,6,0,2,1,2,0
C10 H13 O      ,149.095957,-1000.0,759859,149.096091,0.134,0.901,10,13,0,0,0,1,0
C5 H5 N Na O S ,149.998461,-1000.0,774529,149.998406,-0.055,-0.369,5,5,0,1,1,1,1
C9 H12 N O     ,150.091232,751.06,798615,150.09134,0.108,0.721,9,12,0,1,0,1,0
C8 H11 N2 O    ,151.08667,707.7,841618,151.086589,-0.08,-0.531,8,11,0,2,0,1,0
C4 H7 K N3 O   ,152.022057,-1000.0,845925,152.02207,0.013,0.083,4,7,1,3,0,1,0
C6 H4 N O2 S   ,153.995715,748.82,767062,153.995726,0.011,0.069,6,4,0,1,0,2,1
C4 H2 N3 O4    ,156.003977,447.19,751965,156.003982,0.005,0.03,4,2,0,3,0,4,0
C6 H3 N3 Na O  ,156.016724,518.53,728568,156.016832,0.108,0.693,6,3,0,3,1,1,0
C7 H10 N O3    ,156.065491,476.0,792062,156.06552,0.029,0.183,7,10,0,1,0,3,0
C5 H10 K O S   ,157.008238,376.12,742528,157.008394,0.156,0.996,5,10,1,0,0,1,1
C11 H9 O       ,157.064652,505.01,705485,157.064791,0.139,0.885,11,9,0,0,0,1,0
C8 H13 O S     ,157.068274,-1000.0,712969,157.068163,-0.112,-0.712,8,13,0,0,0,1,1
C4 H4 N3 O4    ,158.019591,689.81,717390,158.019632,0.041,0.258,4,4,0,3,0,4,0
C6 H7 O5       ,159.028875,557.69,711331,159.0288,-0.076,-0.475,6,7,0,0,0,5,0
C6 H3 N Na O S ,159.982847,443.09,744546,159.982756,-0.091,-0.571,6,3,0,1,1,1,1
C4 H6 N3 O4    ,160.035229,-1000.0,938298,160.035282,0.054,0.334,4,6,0,3,0,4,0
C5 H2 K N2 O2  ,160.974836,521.26,850994,160.974785,-0.05,-0.313,5,2,1,2,0,2,0
C5 H2 N2 Na O S,160.977949,-1000.0,725747,160.978005,0.056,0.345,5,2,0,2,1,1,1
C5 H5 O4 S     ,160.990254,447.71,706510,160.990306,0.052,0.324,5,5,0,0,0,4,1
C4 H5 N2 O3 S  ,161.001379,518.2,705846,161.00154,0.16,0.995,4,5,0,2,0,3,1
C8 H10 Na O2   ,161.057203,577.3,784318,161.0573,0.097,0.604,8,10,0,0,1,2,0
C7 H13 O4      ,161.080824,512.15,796418,161.080835,0.012,0.073,7,13,0,0,0,4,0
C5 H5 K N3 O   ,162.006478,-1000.0,732557,162.00642,-0.058,-0.357,5,5,1,3,0,1,0
C6 H12 N O4    ,162.075998,420.15,994200,162.076084,0.087,0.535,6,12,0,1,0,4,0
C7 H7 N4 O     ,163.061564,769.82,724272,163.061437,-0.126,-0.775,7,7,0,4,0,1,0
C8 H12 Na O2   ,163.072867,764.44,730241,163.07295,0.083,0.509,8,12,0,0,1,2,0
C5 H3 N Na O4  ,163.995337,-1000.0,752820,163.995428,0.092,0.558,5,3,0,1,1,4,0
C4 H2 K N2 O3  ,164.96957,573.91,706010,164.9697,0.129,0.784,4,2,1,2,0,3,0
C7 H5 N2 O S   ,165.011678,671.61,743270,165.01171,0.032,0.196,7,5,0,2,0,1,1
